Strong
ENSG00000128274	A4GALT	A14GALT,Gb3S,P(k)	alpha 1,4-galactosyltransferase
ENSG00000162415	ZSWIM5	KIAA1511	zinc finger, SWIM-type containing 5
Moderate
ENSG00000108825	AARSD1	MGC2744	alanyl-tRNA synthetase domain containing 1
ENSG00000103222	ABCC1	GS-X,MRP,MRP1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ENSG00000033050	ABCF2	ABC28,EST133090,HUSSY-18,M-ABC1	ATP-binding cassette, sub-family F (GCN20), member 2
ENSG00000140526	ABHD2	LABH2	abhydrolase domain containing 2
ENSG00000158201	ABHD3	LABH3	abhydrolase domain containing 3
ENSG00000136754	ABI1	ABI-1,E3B1,SSH3BP1	abl-interactor 1
ENSG00000097007	ABL1	ABL,c-ABL,JTK7,p150	c-abl oncogene 1, receptor tyrosine kinase
ENSG00000251369	AC003682.2		zinc finger protein 550 
ENSG00000205858	AC005014.4		Leucine-rich repeat-containing protein ENSP00000371558 
ENSG00000233913	AC008590.1		
ENSG00000227324	AC011195.1		HCG1642624, isoform CRA_aPutative uncharacterized protein ENSP00000409189 ;
ENSG00000167642	AC011479.3		Kunitz-type protease inhibitor 2 Precursor (Hepatocyte growth factor activator inhibitor type 2)(HAI-2)(Placental bikunin)
ENSG00000091436	AC013461.1		Mitogen-activated protein kinase kinase kinase MLT (EC 2.7.11.25)(MLK-like mitogen-activated protein triple kinase)(Sterile alpha motif- and leucine zipper-containing kinase AZK)(Leucine zipper- and sterile alpha motif-containing kinase)(Mixed linea /.../ase-related kinase)(MLK-related kinase)(MRK)(Human cervical cancer suppressor gene 4 protein)(HCCS-4)
ENSG00000131871	AC023024.2		Selenoprotein S (SelS)(VCP-interacting membrane protein)
ENSG00000223722	AC023157.1		Putative uncharacterized protein ENSP00000388831 
ENSG00000250152	AC079807.1		Putative uncharacterized protein FBXO11 
ENSG00000179821	AC090051.1		Putative uncharacterized protein ENSP00000396184 
ENSG00000186082	AC090692.1		Putative uncharacterized protein ENSP00000391831 
ENSG00000188699	AC092070.2		
ENSG00000248535	AC093376.3		WD repeat domain phosphoinositide-interacting protein 2 isoform e 
ENSG00000178404	AC100788.1		cDNA FLJ32655 fis, clone TESTI1000025, weakly similar to M.musculus testis-specific protein, DDC8 
ENSG00000111057	AC107016.1		Keratin, type I cytoskeletal 18 (Cytokeratin-18)(CK-18)(Keratin-18)(K18)(Cell proliferation-inducing gene 46 protein)
ENSG00000249714	AC116158.1		Protein FAM98B 
ENSG00000226210	AC215219.4		Putative uncharacterized protein ENSP00000383542 
ENSG00000060971	ACAA1		acetyl-CoA acyltransferase 1
ENSG00000072778	ACADVL	ACAD6,LCACD,VLCAD	acyl-CoA dehydrogenase, very long chain
ENSG00000075239	ACAT1	ACAT,THIL	acetyl-CoA acetyltransferase 1
ENSG00000182827	ACBD3	GCP60,GOCAP1,GOLPH1	acyl-CoA binding domain containing 3
ENSG00000107897	ACBD5	DKFZp434A2417,KIAA1996	acyl-CoA binding domain containing 5
ENSG00000100412	ACO2	ACONM	aconitase 2, mitochondrial
ENSG00000101473	ACOT8	hACTE-III,hTE,PTE-2,PTE1	acyl-CoA thioesterase 8
ENSG00000161533	ACOX1	PALMCOX	acyl-CoA oxidase 1, palmitoyl
ENSG00000176715	ACSF3		acyl-CoA synthetase family member 3
ENSG00000123983	ACSL3	ACS3,FACL3,PRO2194	acyl-CoA synthetase long-chain family member 3
ENSG00000068366	ACSL4	ACS4,FACL4,LACS4,MRX63,MRX68	acyl-CoA synthetase long-chain family member 4
ENSG00000131069	ACSS2	ACAS2,AceCS,ACS,ACSA,dJ1161H23.1	acyl-CoA synthetase short-chain family member 2
ENSG00000187003	ACTL7A		actin-like 7A
ENSG00000148156	ACTL7B	Tact1	actin-like 7B
ENSG00000077522	ACTN2		actinin, alpha 2
ENSG00000169717	ACTRT2	Arp-T2,ARPM2,FLJ25424	actin-related protein T2
ENSG00000139567	ACVRL1	ACVRLK1,ALK1,HHT,HHT2,ORW2	activin A receptor type II-like 1
ENSG00000151694	ADAM17	CD156B,cSVP,TACE	ADAM metallopeptidase domain 17
ENSG00000160710	ADAR	ADAR1,G1P1,IFI4	adenosine deaminase, RNA-specific
ENSG00000142920	ADC	KIAA1945,ODC-p,ODC1L	arginine decarboxylase
ENSG00000101126	ADNP	ADNP1,KIAA0784	activity-dependent neuroprotector homeobox
ENSG00000100077	ADRBK2	BARK2,GRK3	adrenergic, beta, receptor kinase 2
ENSG00000239900	ADSL		adenylosuccinate lyase
ENSG00000141385	AFG3L2	SCA28	AFG3 ATPase family gene 3-like 2 (yeast)
ENSG00000081051	AFP	FETA,HPAFP	alpha-fetoprotein
ENSG00000173744	AGFG1	HRB,RAB,RIP	ArfGAP with FG repeats 1
ENSG00000006530	AGK	FLJ10842,MULK	acylglycerol kinase
ENSG00000169692	AGPAT2	BSCL	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)
ENSG00000155189	AGPAT5	FLJ11210,LPAAT-e,LPAAT-epsilon	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)
ENSG00000158669	AGPAT6	DKFZp586M1819,LPAAT-zeta	1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)
ENSG00000100591	AHSA1	C14orf3,p38	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)
ENSG00000145192	AHSG	A2HS,FETUA,HSGA	alpha-2-HS-glycoprotein
ENSG00000186063	AIDA	C1orf80,FLJ12806	axin interactor, dorsalization associated
ENSG00000106305	AIMP2	JTV-1,JTV1,p38,PRO0992	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
ENSG00000110711	AIP	ARA9,FKBP16,XAP2	aryl hydrocarbon receptor interacting protein
ENSG00000106992	AK1		adenylate kinase 1
ENSG00000127914	AKAP9	AKAP350,AKAP450,CG-NAP,HYPERION,KIAA0803,MU-RMS-40.16A,PRKA9,YOTIAO	A kinase (PRKA) anchor protein (yotiao) 9
ENSG00000142208	AKT1	AKT,PKB,PRKBA,RAC	v-akt murine thymoma viral oncogene homolog 1
ENSG00000249037	AL121852.1		sec1 family domain-containing protein 1 isoform b 
ENSG00000059573	ALDH18A1	GSAS,P5CS,PYCS	aldehyde dehydrogenase 18 family, member A1
ENSG00000159423	ALDH4A1	ALDH4,P5CDh	aldehyde dehydrogenase 4 family, member A1
ENSG00000112294	ALDH5A1	SSADH,SSDH	aldehyde dehydrogenase 5 family, member A1
ENSG00000143149	ALDH9A1	ALDH4,ALDH7,ALDH9,E3	aldehyde dehydrogenase 9 family, member A1
ENSG00000136872	ALDOB		aldolase B, fructose-bisphosphate
ENSG00000101901	ALG13	CXorf45,FLJ23018,GLT28D1,MDS031,YGL047W	asparagine-linked glycosylation 13 homolog (S. cerevisiae)
ENSG00000120697	ALG5	bA421P11.2	asparagine-linked glycosylation 5, dolichyl-phosphate beta-glucosyltransferase homolog (S. cerevisiae)
ENSG00000189046	ALKBH2	ABH2,MGC90512	alkB, alkylation repair homolog 2 (E. coli)
ENSG00000108839	ALOX12	12S-LOX	arachidonate 12-lipoxygenase
ENSG00000162551	ALPL	HOPS,TNSALP	alkaline phosphatase, liver/bone/kidney
ENSG00000180318	ALX1	CART1	ALX homeobox 1
ENSG00000145020	AMT	GCST,NKH	aminomethyltransferase
ENSG00000141552	ANAPC11	APC11,Apc11p,HSPC214,MGC882	anaphase promoting complex subunit 11
ENSG00000091879	ANGPT2	Ang2	angiopoietin 2
ENSG00000101280	ANGPT4		angiopoietin 4
ENSG00000131503	ANKHD1	FLJ10042,FLJ11979,FLJ14127,FLJ20288,KIAA1085,MASK	ankyrin repeat and KH domain containing 1
ENSG00000249536	ANKHD1-EIF4EBP3	MASK-BP3	ANKHD1-EIF4EBP3 readthrough
ENSG00000118454	ANKRD13C	dJ677H15.3,DKFZP566D1346	ankyrin repeat domain 13C
ENSG00000152766	ANKRD22	MGC22805	ankyrin repeat domain 22
ENSG00000148513	ANKRD30A	NY-BR-1	ankyrin repeat domain 30A
ENSG00000135046	ANXA1	ANX1,LPC1	annexin A1
ENSG00000122359	ANXA11	ANX11	annexin A11
ENSG00000104537	ANXA13	ANX13	annexin A13
ENSG00000196975	ANXA4	ANX4	annexin A4
ENSG00000197043	ANXA6	ANX6	annexin A6
ENSG00000143412	ANXA9	ANX31	annexin A9
ENSG00000166250	AP000926.1		Adipocyte adhesion molecule Precursor (Coxsackie- and adenovirus receptor-like membrane protein)(CAR-like membrane protein)
ENSG00000213983	AP1G2	G2AD	adaptor-related protein complex 1, gamma 2 subunit
ENSG00000196961	AP2A1	ADTAA,CLAPA1	adaptor-related protein complex 2, alpha 1 subunit
ENSG00000006125	AP2B1	ADTB2,CLAPB1	adaptor-related protein complex 2, beta 1 subunit
ENSG00000113108	APBB3	FE65L2	amyloid beta (A4) precursor protein-binding, family B, member 3
ENSG00000128335	APOL2	APOL-II	apolipoprotein L, 2
ENSG00000142192	APP	AD1	amyloid beta (A4) precursor protein
ENSG00000171885	AQP4	MIWC	aquaporin 4
ENSG00000143761	ARF1		ADP-ribosylation factor 1
ENSG00000164144	ARFIP1	HSU52521	ADP-ribosylation factor interacting protein 1
ENSG00000118520	ARG1		arginase, liver
ENSG00000175220	ARHGAP1	CDC42GAP,p50rhoGAP,RhoGAP	Rho GTPase activating protein 1
ENSG00000141522	ARHGDIA	GDIA1,RHOGDI	Rho GDP dissociation inhibitor (GDI) alpha
ENSG00000076928	ARHGEF1	LBCL2,P115-RHOGEF,SUB1.5	Rho guanine nucleotide exchange factor (GEF) 1
ENSG00000132694	ARHGEF11	GTRAP48,KIAA0380,PDZ-RHOGEF	Rho guanine nucleotide exchange factor (GEF) 11
ENSG00000102606	ARHGEF7	BETA-PIX,COOL1,DKFZp686C12170,DKFZp761K1021,KIAA0142,Nbla10314,P50,P50BP,P85,P85COOL1,P85SPR,PAK3,PIXB	Rho guanine nucleotide exchange factor (GEF) 7
ENSG00000117713	ARID1A	B120,BAF250,BAF250a,C10rf4,C1orf4,P270,SMARCF1	AT rich interactive domain 1A (SWI-like)
ENSG00000166233	ARIH1	ARI,HARI,HHARI,UBCH7BP	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)
ENSG00000144746	ARL6IP5	DERP11,GTRAP3-18,HSPC127,JWA,PRAF3	ADP-ribosylation-like factor 6 interacting protein 5
ENSG00000170632	ARMC10	MGC3195,SVH	armadillo repeat containing 10
ENSG00000102401	ARMCX3	ALEX3	armadillo repeat containing, X-linked 3
ENSG00000143437	ARNT	bHLHe2,HIF-1beta	aryl hydrocarbon receptor nuclear translocator
ENSG00000241685	ARPC1A	Arc40,SOP2Hs,SOP2L	actin related protein 2/3 complex, subunit 1A, 41kDa
ENSG00000163466	ARPC2	ARC34,p34-Arc	actin related protein 2/3 complex, subunit 2, 34kDa
ENSG00000111229	ARPC3	ARC21,p21-Arc	actin related protein 2/3 complex, subunit 3, 21kDa
ENSG00000006756	ARSD		arylsulfatase D
ENSG00000214435	AS3MT	CYT19	arsenic (+3 oxidation state) methyltransferase
ENSG00000148331	ASB6		ankyrin repeat and SOCS box-containing 6
ENSG00000183475	ASB7		ankyrin repeat and SOCS box-containing 7
ENSG00000100325	ASCC2	ASC1p100,DKFZp586O0223,FLJ21588	activating signal cointegrator 1 complex subunit 2
ENSG00000141505	ASGR1	CLEC4H1	asialoglycoprotein receptor 1
ENSG00000116539	ASH1L	ASH1,ASH1L1,huASH1,KMT2H	ash1 (absent, small, or homeotic)-like (Drosophila)
ENSG00000169093	ASMTL		acetylserotonin O-methyltransferase-like
ENSG00000106819	ASPN	FLJ20129,PLAP1,SLRR1C	asporin
ENSG00000130707	ASS1	ASS,CTLN1	argininosuccinate synthase 1
ENSG00000115966	ATF2	CRE-BP1,CREB2,HB16,TREB7	activating transcription factor 2
ENSG00000162772	ATF3		activating transcription factor 3
ENSG00000170653	ATF7	ATFA	activating transcription factor 7
ENSG00000171681	ATF7IP	FLJ10688,p621	activating transcription factor 7 interacting protein
ENSG00000125703	ATG4C	APG4C,AUTL1,AUTL3,FLJ14867	ATG4 autophagy related 4 homolog C (S. cerevisiae)
ENSG00000197548	ATG7	APG7L,DKFZp434N0735,GSA7	ATG7 autophagy related 7 homolog (S. cerevisiae)
ENSG00000070961	ATP2B1	PMCA1	ATPase, Ca++ transporting, plasma membrane 1
ENSG00000157087	ATP2B2	PMCA2	ATPase, Ca++ transporting, plasma membrane 2
ENSG00000110955	ATP5B	ATPSB	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide
ENSG00000159720	ATP6V0D1	ATP6D,ATP6DV,P39,VATX,Vma6,VPATPD	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1
ENSG00000123191	ATP7B	WND	ATPase, Cu++ transporting, beta polypeptide
ENSG00000124788	ATXN1	ATX1,D6S504E,SCA1	ataxin 1
ENSG00000087586	AURKA	ARK1,AurA,BTAK,STK15,STK6,STK7	aurora kinase A
ENSG00000166710	B2M		beta-2-microglobulin
ENSG00000162885	B3GALNT2	MGC39558	beta-1,3-N-acetylgalactosaminyltransferase 2
ENSG00000086062	B4GALT1	beta4Gal-T1,GGTB2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1
ENSG00000002330	BAD	BBC2,BCL2L8	BCL2-associated agonist of cell death
ENSG00000163930	BAP1	hucep-6,KIAA0272,UCHL2	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)
ENSG00000087088	BAX	BCL2L4	BCL2-associated X protein
ENSG00000129151	BBOX1	BBH,BBOX,G-BBH,gamma-BBH	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1
ENSG00000185825	BCAP31	6C6-Ag,BAP31,CDM,DXS1357E	B-cell receptor-associated protein 31
ENSG00000050820	BCAR1	CAS,CASS1,Crkas,P130Cas	breast cancer anti-estrogen resistance 1
ENSG00000113916	BCL6	BCL5,BCL6A,LAZ3,ZBTB27,ZNF51	B-cell CLL/lymphoma 6
ENSG00000126581	BECN1	ATG6,VPS30	beclin 1, autophagy related
ENSG00000183092	BEGAIN	KIAA1446	brain-enriched guanylate kinase-associated homolog (rat)
ENSG00000182492	BGN	DSPG1,SLRR1A	biglycan
ENSG00000015475	BID		BH3 interacting domain death agonist
ENSG00000136717	BIN1	AMPH2,AMPHL,SH3P9	bridging integrator 1
ENSG00000089685	BIRC5	API4,EPR-1	baculoviral IAP repeat-containing 5
ENSG00000197299	BLM	BS,RECQ2,RECQL3	Bloom syndrome, RecQ helicase-like
ENSG00000095585	BLNK	BLNK-s,LRG_21,Ly57,SLP-65,SLP65	B-cell linker
ENSG00000104081	BMF	FLJ00065	Bcl2 modifying factor
ENSG00000113734	BNIP1	Nip1,SEC20	BCL2/adenovirus E1B 19kDa interacting protein 1
ENSG00000176171	BNIP3	Nip3	BCL2/adenovirus E1B 19kDa interacting protein 3
ENSG00000104765	BNIP3L	BNIP3a,Nix	BCL2/adenovirus E1B 19kDa interacting protein 3-like
ENSG00000163141	BNIPL	BNIPl-1,BNIPL-2,PP753	BCL2/adenovirus E1B 19kD interacting protein like
ENSG00000172331	BPGM		2,3-bisphosphoglycerate mutase
ENSG00000157764	BRAF	BRAF1	v-raf murine sarcoma viral oncogene homolog B1
ENSG00000112983	BRD8	p120,SMAP	bromodomain containing 8
ENSG00000028310	BRD9	FLJ13441	bromodomain containing 9
ENSG00000156983	BRPF1	BR140	bromodomain and PHD finger containing, 1
ENSG00000188909	BSX		brain-specific homeobox
ENSG00000026950	BTN3A1	BT3.1,BTF5,CD277	butyrophilin, subfamily 3, member A1
ENSG00000111801	BTN3A3	BTF3	butyrophilin, subfamily 3, member A3
ENSG00000112276	BVES	HBVES,POP1,POPDC1	blood vessel epicardial substance
ENSG00000122378	C10orf57	bA369J21.6,C10orf58,FLJ13263,MGC4248	Uncharacterized protein C10orf58 Precursor 
ENSG00000162194	C11orf48	MGC2477	Uncharacterized protein C11orf48 
ENSG00000165506	C14orf104	FLJ10563,KTU	Protein kintoun 
ENSG00000129534	C14orf106	FLJ11186,KIAA1903,MIS18BP1	Kinetochore-associated protein KNL-2 homolog (HsKNL-2)(Mis18-binding protein 1)(P243)
ENSG00000126214	C14orf153	hKLC1B,hKLC1G,hKLC1J,hKLC1N,hKLC1P,hKLC1R,hKLC1S,KLC,KLC1,KNS2,KNS2A,MGC2562	kinesin light chain 1
ENSG00000119650	C14orf179	FLJ32173,MGC16028	Uncharacterized protein C14orf179 
ENSG00000156030	C14orf43	C14orf117,LSR68	Uncharacterized protein C14orf43 
ENSG00000134153	C15orf24	C11orf3	UPF0480 protein C15orf24 Precursor 
ENSG00000140688	C16orf58	FLJ13868	UPF0420 protein C16orf58 
ENSG00000167861	C17orf28	DMC1	UPF0663 transmembrane protein C17orf28 (Down-regulated in multiple cancers 1)
ENSG00000161939	C17orf49	MGC49942	MLL1/MLL complex subunit C17orf49 
ENSG00000108666	C17orf75	NJMU-R1	Protein Njmu-R1 
ENSG00000106392	C1GALT1	C1GALT,T-synthase	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1
ENSG00000162490	C1orf187	FLJ34999	Draxin Precursor (Dorsal repulsive axon guidance protein)(Neucrin)
ENSG00000160055	C1orf91	dJ622L5.7,FLJ90779,RP4-622L5	UPF0546 membrane protein C1orf91 
ENSG00000125999	C20orf114	bA49G10.6,dJ1187J4.1,LPLUNC1,MGC14597	Long palate, lung and nasal epithelium carcinoma-associated protein 1 Precursor (Von Ebner minor salivary gland protein)(VEMSGP)
ENSG00000089101	C20orf26	dJ1002M8.3,DKFZP434K156	Uncharacterized protein C20orf26 
ENSG00000160284	C21orf56		Uncharacterized protein C21orf56 
ENSG00000159079	C21orf59	C21orf48,FLJ20467	Uncharacterized protein C21orf59 
ENSG00000100220	C22orf28	HSPC117	UPF0027 protein C22orf28 
ENSG00000215012	C22orf29	FLJ21125	Uncharacterized protein C22orf29 
ENSG00000163378	C3orf64	AER61,FLJ33770	Uncharacterized glycosyltransferase AER61 Precursor (EC 2.4.-.-)
ENSG00000250317	C4orf52		Uncharacterized protein C4orf52 
ENSG00000170271	C5orf4	FLJ13758	Uncharacterized protein C5orf4 
ENSG00000146476	C6orf211	FLJ12910	UPF0364 protein C6orf211 
ENSG00000112167	C6orf64	FLJ11101	Uncharacterized protein C6orf64 
ENSG00000198663	C6orf89	FLJ25357	Uncharacterized protein C6orf89 
ENSG00000175600	C7orf10	DERP13,FLJ11808,ORF19	CaiB/baiF CoA-transferase family protein C7orf10 (EC 2.-.-.-)(Dermal papilla-derived protein 13)
ENSG00000106603	C7orf44	FLJ10803	Uncharacterized protein C7orf44 
ENSG00000106034	C7orf58	FLJ21986	Uncharacterized protein C7orf58 Precursor 
ENSG00000176209	C8orf40		UPF0697 protein C8orf40 
ENSG00000107020	C9orf46	AD025,FLJ14688,MDS030	Transmembrane protein C9orf46 
ENSG00000165698	C9orf9		Uncharacterized protein C9orf9 
ENSG00000165695	C9orf98	FLJ32704	Putative adenylate kinase-like protein C9orf98 (EC 2.7.4.3)
ENSG00000185015	CA13	CAXIII,FLJ37995,MGC59868	carbonic anhydrase XIII
ENSG00000164879	CA3	CAIII,Car3	carbonic anhydrase III, muscle specific
ENSG00000163050	CABC1	ADCK3,COQ8	chaperone, ABC1 activity of bc1 complex homolog (S. pombe)
ENSG00000172137	CALB2	CAL2	calbindin 2
ENSG00000136436	CALCOCO2	MGC17318,NDP52	calcium binding and coiled-coil domain 2
ENSG00000179218	CALR	cC1qR,CRT,FLJ26680,RO,SSA	calreticulin
ENSG00000164076	CAMKV	MGC8407,VACAMKL	CaM kinase-like vesicle-associated
ENSG00000014216	CAPN1	CANP,CANPL1,muCANP,muCL	calpain 1, (mu/I) large subunit
ENSG00000126247	CAPNS1	30K,CANP,CANPS,CAPN4,CDPS	calpain, small subunit 1
ENSG00000198898	CAPZA2	CAPPA2,CAPZ	capping protein (actin filament) muscle Z-line, alpha 2
ENSG00000141527	CARD14	BIMP2,CARMA2	caspase recruitment domain family, member 14
ENSG00000110619	CARS	CARS1	cysteinyl-tRNA synthetase
ENSG00000137752	CASP1	CARD17,ICE,IL1BC,INCA	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)
ENSG00000064012	CASP8	Casp-8,FLICE,MACH,MCH5	caspase 8, apoptosis-related cysteine peptidase
ENSG00000118729	CASQ2	PDIB2	calsequestrin 2 (cardiac muscle)
ENSG00000105974	CAV1	CAV	caveolin 1, caveolae protein, 22kDa
ENSG00000105971	CAV2	CAV	caveolin 2
ENSG00000114423	CBLB	RNF56	Cas-Br-M (murine) ecotropic retroviral transforming sequence b
ENSG00000159231	CBR3	SDR21C2	carbonyl reductase 3
ENSG00000094916	CBX5	HP1,HP1-ALPHA,HP1Hs-alpha	chromobox homolog 5 (HP1 alpha homolog, Drosophila)
ENSG00000132024	CC2D1A	FLJ20241,MRT3	coiled-coil and C2 domain containing 1A
ENSG00000128596	CCDC136	DKFZP434G156,KIAA1793,NAG6	coiled-coil domain containing 136
ENSG00000161609	CCDC155	FLJ32658	coiled-coil domain containing 155
ENSG00000152492	CCDC50	C3orf6,DFNA44,Ymer	coiled-coil domain containing 50
ENSG00000164051	CCDC51	FLJ12436	coiled-coil domain containing 51
ENSG00000108091	CCDC6	D10S170,H4,PTC,TPC,TST1	coiled-coil domain containing 6
ENSG00000137500	CCDC90B	MDS011,MDS025	coiled-coil domain containing 90B
ENSG00000108691	CCL2	GDCF-2,HC11,MCAF,MCP-1,MCP1,MGC9434,SCYA2,SMC-CF	chemokine (C-C motif) ligand 2
ENSG00000145386	CCNA2	CCN1,CCNA	cyclin A2
ENSG00000134057	CCNB1	CCNB	cyclin B1
ENSG00000157456	CCNB2	HsT17299	cyclin B2
ENSG00000147082	CCNB3		cyclin B3
ENSG00000112576	CCND3		cyclin D3
ENSG00000175305	CCNE2	CYCE2	cyclin E2
ENSG00000113328	CCNG1	CCNG	cyclin G1
ENSG00000112486	CCR6	BN-1,CD196,CKR-L3,CMKBR6,DCR2,DRY-6,GPR-CY4,GPR29,STRL22	chemokine (C-C motif) receptor 6
ENSG00000156345	CCRK	CCRK,CDK20,p42	cyclin-dependent kinase 20
ENSG00000166226	CCT2	Cctb	chaperonin containing TCP1, subunit 2 (beta)
ENSG00000150753	CCT5	KIAA0098	chaperonin containing TCP1, subunit 5 (epsilon)
ENSG00000135624	CCT7	Ccth,Nip7-1	chaperonin containing TCP1, subunit 7 (eta)
ENSG00000122223	CD244	2B4,NAIL,NKR2B4,Nmrk,SLAMF4	CD244 molecule, natural killer cell receptor 2B4
ENSG00000117335	CD46	MCP,MGC26544,MIC10,TLX,TRA2.10	CD46 molecule, complement regulatory protein
ENSG00000196352	CD55	CR,CROM,DAF,TC	CD55 molecule, decay accelerating factor for complement (Cromer blood group)
ENSG00000085063	CD59	16.3A5,EJ16,EJ30,EL32,G344,MIC11,MIN1,MIN2,MIN3,MSK21,p18-20	CD59 molecule, complement regulatory protein
ENSG00000129226	CD68	DKFZp686M18236,GP110,macrosialin,SCARD1	CD68 molecule
ENSG00000007312	CD79B	B29,IGB	CD79b molecule, immunoglobulin-associated beta
ENSG00000110651	CD81	TAPA-1,TAPA1,TSPAN28	CD81 molecule
ENSG00000101224	CDC25B		cell division cycle 25 homolog B (S. pombe)
ENSG00000099804	CDC34	E2-CDC34,UBC3,UBE2R1	cell division cycle 34 homolog (S. cerevisiae)
ENSG00000105401	CDC37	P50CDC37	cell division cycle 37 homolog (S. cerevisiae)
ENSG00000093009	CDC45L	CDC45,CDC45L,CDC45L2	cell division cycle 45 homolog (S. cerevisiae)
ENSG00000096401	CDC5L	CDC5,CEF1,hCDC5,PCDC5RP	CDC5 cell division cycle 5-like (S. pombe)
ENSG00000097046	CDC7	CDC7L1,HsCdc7,Hsk1,huCdc7	cell division cycle 7 homolog (S. cerevisiae)
ENSG00000144354	CDCA7	FLJ14736,JPO1	cell division cycle associated 7
ENSG00000134690	CDCA8	BOR,DasraB,FLJ12042,MESRGP	cell division cycle associated 8
ENSG00000079112	CDH17	cadherin,HPT-1	cadherin 17, LI cadherin (liver-intestine)
ENSG00000170558	CDH2	CD325,CDHN,NCAD	cadherin 2, type 1, N-cadherin (neuronal)
ENSG00000113361	CDH6		cadherin 6, type 2, K-cadherin (fetal kidney)
ENSG00000081138	CDH7		cadherin 7, type 2
ENSG00000170312	CDK1	CDC2,CDC28A	cyclin-dependent kinase 1
ENSG00000108465	CDK5RAP3	C53,FLJ13660,HSF-27,IC53,LZAP,MST016,OK/SW-cl.114	CDK5 regulatory subunit associated protein 3
ENSG00000105810	CDK6	PLSTIRE	cyclin-dependent kinase 6
ENSG00000134058	CDK7	CAK,CAK1,CDKN7,MO15,STK1	cyclin-dependent kinase 7
ENSG00000136807	CDK9	C-2k,CDC2L4,PITALRE,TAK	cyclin-dependent kinase 9
ENSG00000008086	CDKL5	STK9	cyclin-dependent kinase-like 5
ENSG00000111276	CDKN1B	KIP1,P27KIP1	cyclin-dependent kinase inhibitor 1B (p27, Kip1)
ENSG00000129757	CDKN1C	BWCR,BWS,KIP2,P57	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
ENSG00000140743	CDR2	CDR62,Yo	cerebellar degeneration-related protein 2, 62kDa
ENSG00000239704	CDRT4	FLJ36674	CMT1A duplicated region transcript 4
ENSG00000101290	CDS2		CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2
ENSG00000086548	CEACAM6	CD66c,NCA	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
ENSG00000153879	CEBPG	GPE1BP,IG/EBP-1	CCAAT/enhancer binding protein (C/EBP), gamma
ENSG00000069998	CECR5		cat eye syndrome chromosome region, candidate 5
ENSG00000115163	CENPA	CENP-A	centromere protein A
ENSG00000102384	CENPI	CENP-I,FSHPRH1,LRPR1,Mis6	centromere protein I
ENSG00000182504	CEP97	FLJ23047,LRRIQ2	centrosomal protein 97kDa
ENSG00000243649	CFB	BF,BFD,H2-Bf	Complement factor B Precursor (EC 3.4.21.47)(C3/C5 convertase)(Properdin factor B)(Glycine-rich beta glycoprotein)(GBG)(PBF2) [Contains Complement factor B Ba fragment;Complement factor B Bb fragment]
ENSG00000138028	CGREF1	CGR11	cell growth regulator with EF-hand domain 1
ENSG00000100532	CGRRF1	CGR19,RNF197	cell growth regulator with ring finger domain 1
ENSG00000033100	CHPF2	ChSy-3,CSGlcA-T,KIAA1402	chondroitin polymerizing factor 2
ENSG00000101938	CHRDL1	CHL,NRLN1	chordin-like 1
ENSG00000115526	CHST10	HNK-1ST	carbohydrate sulfotransferase 10
ENSG00000182022	CHST15	BRAG,GALNAC4S-6ST,KIAA0598	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15
ENSG00000213341	CHUK	IkBKA,IKK-alpha,IKK1,IKKA,NFKBIKA,TCF16	conserved helix-loop-helix ubiquitous kinase
ENSG00000185043	CIB1	CALMYRIN,CIB,KIP,SIP2-28	calcium and integrin binding 1 (calmyrin)
ENSG00000114859	CLCN2	CLC2,EJM6	chloride channel 2
ENSG00000163347	CLDN1	ILVASC,SEMP1	claudin 1
ENSG00000013297	CLDN11	OSP,OTM	claudin 11
ENSG00000165215	CLDN3	C7orf1,CPE-R2,CPETR2,HRVP1,RVP1	claudin 3
ENSG00000169583	CLIC3		chloride intracellular channel 3
ENSG00000134852	CLOCK	bHLHe8,KAT13D,KIAA0334	clock homolog (mouse)
ENSG00000125656	CLPP		ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)
